time,seconds_elapsed,z,y,x
1760285883411411500,0.124411376953125,-0.2228565216064453,0.7811509370803833,-0.2857012152671814
1760285883441411600,0.15441162109375,-0.20778942108154297,0.7854493856430054,-0.269339382648468
1760285883451411500,0.164411376953125,-0.18423080444335938,0.7781882286071777,-0.2570841610431671
1760285883461411600,0.17441162109375,-0.14385223388671875,0.7560594081878662,-0.24232320487499237
1760285883471411500,0.184411376953125,-0.08915901184082031,0.7400054931640625,-0.23499873280525208
1760285883481411600,0.19441162109375,-0.04410266876220703,0.7340257167816162,-0.23232972621917725
1760285883491411500,0.204411376953125,0.02852344512939453,0.43282604217529297,-0.13425657153129578
1760285883501411600,0.21441162109375,0.08047866821289062,0.2691943645477295,-0.07837970554828644
1760285883511411500,0.224411376953125,0.09106922149658203,0.21587014198303223,-0.060763828456401825
1760285883521411600,0.23441162109375,0.08652019500732422,0.19166696071624756,-0.0420985110104084
1760285883531411500,0.244411376953125,0.07837200164794922,0.17717671394348145,-0.031344037503004074
1760285883541411600,0.25441162109375,0.06472206115722656,0.15979444980621338,-0.02117452397942543
1760285883551411500,0.264411376953125,0.04814338684082031,0.1431671380996704,-0.02093406766653061
1760285883561411600,0.27441162109375,0.03826904296875,0.12688910961151123,-0.019912468269467354
1760285883571411500,0.284411376953125,0.025539398193359375,0.11320304870605469,-0.019076749682426453
1760285883581411600,0.29441162109375,0.014796257019042969,0.10415542125701904,-0.024598799645900726
1760285883591411500,0.304411376953125,0.0019693374633789062,0.1064598560333252,-0.019076747819781303
1760285883601411600,0.31441162109375,0.0008602142333984375,0.11256575584411621,-0.02356843464076519
1760285883611411500,0.324411376953125,-0.0002880096435546875,0.10933315753936768,-0.01311696507036686
1760285883621411600,0.33441162109375,-0.0012578964233398438,0.11470746994018555,-0.016151363030076027
1760285883631411500,0.344411376953125,0.002880096435546875,0.11592411994934082,-0.012935250997543335
1760285883641411600,0.35441162109375,0.0002956390380859375,0.11217737197875977,-0.022173399105668068
1760285883651411500,0.364411376953125,-0.004149436950683594,0.1126335859298706,-0.029268179088830948
1760285883661411600,0.37441162109375,-0.022461891174316406,0.1055217981338501,-0.029016690328717232
1760285883671411500,0.384411376953125,-0.06685829162597656,0.097015380859375,-0.028147432953119278
1760285883681411600,0.39441162109375,-0.11156272888183594,0.09265244007110596,-0.030797872692346573
1760285883691411500,0.404411376953125,-0.14248085021972656,0.08670532703399658,-0.03410699963569641
1760285883701411600,0.41441162109375,-0.15719890594482422,0.0862283706665039,-0.040556978434324265
1760285883711411500,0.424411376953125,-0.1340198516845703,0.07843470573425293,-0.04487520828843117
1760285883721411600,0.43441162109375,-0.09196281433105469,0.07458019256591797,-0.0508778840303421
1760285883731411500,0.444411376953125,-0.05449962615966797,0.0744633674621582,-0.056921105831861496
1760285883741411600,0.45441162109375,-0.0310211181640625,0.07225680351257324,-0.05453413724899292
1760285883751411500,0.464411376953125,-0.02630615234375,0.07507550716400146,-0.048911914229393005
1760285883761411600,0.47441162109375,-0.02853870391845703,0.07899200916290283,-0.049844883382320404
1760285883771411500,0.484411376953125,-0.025931358337402344,0.08261334896087646,-0.048197191208601
1760285883781411600,0.49441162109375,-0.028133392333984375,0.07918024063110352,-0.051432736217975616
1760285883791411500,0.504411376953125,-0.03998851776123047,0.08334171772003174,-0.04505925998091698
1760285883801411600,0.51441162109375,-0.054345130920410156,0.09048914909362793,-0.038617610931396484
1760285883811411500,0.524411376953125,-0.06644248962402344,0.09598255157470703,-0.0341682992875576
1760285883821411600,0.53441162109375,-0.07141971588134766,0.09463214874267578,-0.03694668039679527
1760285883831411500,0.544411376953125,-0.06438064575195312,0.09302639961242676,-0.04182005673646927
1760285883841411600,0.55441162109375,-0.06206798553466797,0.0910646915435791,-0.05513393133878708
1760285883851411500,0.564411376953125,-0.059729576110839844,0.09134697914123535,-0.05848272889852524
1760285883861411600,0.57441162109375,-0.059884071350097656,0.08261942863464355,-0.058299846947193146
1760285883871411500,0.584411376953125,-0.0626220703125,0.07496798038482666,-0.05282295122742653
1760285883881411600,0.59441162109375,-0.06302356719970703,0.06523048877716064,-0.0468488484621048
1760285883891411500,0.604411376953125,-0.051525115966796875,0.05827498435974121,-0.042609527707099915
1760285883901411600,0.61441162109375,-0.032912254333496094,0.06365633010864258,-0.042477644979953766
1760285883911411500,0.624411376953125,-0.01905345916748047,0.06647181510925293,-0.04257123917341232
1760285883921411600,0.63441162109375,-0.03130054473876953,0.06800329685211182,-0.04494717717170715
1760285883931411500,0.644411376953125,-0.06474494934082031,0.07236671447753906,-0.04895889759063721
1760285883941411600,0.65441162109375,-0.09311580657958984,0.06315410137176514,-0.04703669622540474
1760285883951411500,0.664411376953125,-0.11188316345214844,0.0490107536315918,-0.042465005069971085
1760285883961411600,0.67441162109375,-0.1140289306640625,0.04040539264678955,-0.029907209798693657
1760285883971411500,0.684411376953125,-0.10911083221435547,0.039649248123168945,-0.02647080458700657
1760285883981411600,0.69441162109375,-0.10421562194824219,0.043816208839416504,-0.03552621603012085
1760285883991411500,0.704411376953125,-0.10403823852539062,0.047603607177734375,-0.04497523233294487
1760285884001411600,0.71441162109375,-0.1158895492553711,0.04931509494781494,-0.04942118003964424
1760285884011411500,0.724411376953125,-0.12072944641113281,0.04480874538421631,-0.04324278607964516
1760285884021411600,0.73441162109375,-0.11136531829833984,0.05076313018798828,-0.037283219397068024
1760285884031411500,0.744411376953125,-0.10693359375,0.05751204490661621,-0.03180040419101715
1760285884041411600,0.75441162109375,-0.10743522644042969,0.0674675703048706,-0.0009727175347507
