time,seconds_elapsed,z,y,x
1760286057551732500,174.264732421875,0.10262536257505417,0.08491026610136032,-0.2583959996700287
1760286057561732400,174.274732421875,0.0354301854968071,0.0757472887635231,-0.2535090744495392
1760286057571732500,174.284732421875,-0.021991148591041565,0.02932153269648552,-0.2474004179239273
1760286057581732400,174.294732421875,-0.07208210229873657,-0.04948008432984352,-0.24068090319633484
1760286057591732500,174.304732421875,-0.1215621829032898,-0.1319468915462494,-0.23945917189121246
1760286057601732400,174.314732421875,-0.16859880089759827,-0.18448130786418915,-0.2480112910270691
1760286057611732500,174.324732421875,-0.22418753802776337,-0.18325957655906677,-0.28588494658470154
1760286057621732400,174.334732421875,-0.242513507604599,-0.1258382350206375,-0.32131510972976685
1760286057631732500,174.344732421875,-0.24617868661880493,-0.02076941914856434,-0.3549126982688904
1760286057641732400,174.354732421875,-0.23518311977386475,0.11850785464048386,-0.3793473243713379
1760286057651732500,174.364732421875,-0.21563543379306793,0.2474004179239273,-0.3891211748123169
1760286057661732400,174.374732421875,-0.20402899384498596,0.31642818450927734,-0.3732386529445648
1760286057671732500,174.384732421875,-0.22357667982578278,0.2938261926174164,-0.32986724376678467
1760286057681732400,174.394732421875,-0.3445279896259308,0.059864792972803116,-0.22907446324825287
1760286057691732500,174.404732421875,-0.48808133602142334,-0.18081611394882202,-0.1563815027475357
1760286057701732400,174.414732421875,-0.6224716901779175,-0.3500257730484009,-0.11972958594560623
1760286057711732500,174.424732421875,-0.6615670323371887,-0.3335324227809906,-0.1472185254096985
1760286057721732400,174.434732421875,-0.59803706407547,-0.15271630883216858,-0.21807889640331268
1760286057741732600,174.45473266601562,-0.3988949954509735,0.17959438264369965,-0.2883284091949463
1760286057751732500,174.464732421875,-0.3885102868080139,0.07147123664617538,-0.1563815027475357
1760286057761732600,174.47473266601563,-0.4349360466003418,-0.10567969083786011,-0.021991148591041565
1760286057771732500,174.484732421875,-0.5149593949317932,-0.3274237811565399,0.10018189996480942
1760286057781732400,174.494732421875,-0.6310238242149353,-0.48869219422340393,0.16982053220272064
1760286057791732500,174.504732421875,-0.7562511563301086,-0.5241223573684692,0.1771509200334549
1760286057801732400,174.514732421875,-0.8454375267028809,-0.4502076804637909,0.12217304855585098
1760286057811732500,174.524732421875,-0.9010262489318848,-0.2632829248905182,0.029932396486401558
1760286057821732400,174.534732421875,-0.8936958312988281,0.18509216606616974,-0.10262536257505417
1760286057831732500,174.544732421875,-0.8148942589759827,0.5363397002220154,-0.12950342893600464
1760286057841732400,174.554732421875,-0.6872233748435974,0.8142833709716797,-0.08674286305904388
1760286057851732500,174.564732421875,-0.5583308339118958,0.9523389339447021,0.015882495790719986
